元の番号,分類番号,単語,和訳,分類語源,一つ目の語源,一つ目の語源の長さ,二つ目の語源,二つ目の語源の長さ,三つ目の語源,三つ目の語源の長さ,参考,参考の長さ,,,,,,,,,,,,
1695,185,,,morph(形),,0,,0,,0,,0,,,,,,,,,,,,
1696,186,amortize,返済する、減価償却する,mort_mori_mortus(死),ad(方向),6,mortus(死んだ),11,,0,,0,,,,,,,,,,,,
1697,186,immortal,不滅の,mort_mori_mortus(死),in(否定),6,mortalis(死の),12,,0,,0,例えば賢者の石を使うと、永遠の命(immortal life)が手にはいるとされています,しかし人が死にゆく運命にあることは不滅の心理(immortal truth)なので、誰も抗うことはできません,また神話で登場するフェニックスは死んでもまた蘇る伝説の不死鳥(immortal bird)です,,,,,,,,,
1698,186,morbid,病的な,mort_mori_mortus(死),morbus(病気),10,,0,,0,,0,哲学書を読みすぎると、死への病的な興味が湧くことがあります(to have a morbid interest in death),また子供の頃に犬に噛まれたトラウマなどがあると、大人になっても犬への恐怖症に苦しむことになります(to suffer from a morbid fear of dogs),,,,,,,,,,
1699,186,moribund,瀕死の,mort_mori_mortus(死),mori(死),7,,0,,0,,0,,,,,,,,,,,,
1700,186,mortal,死ぬべき運命の、致命的な,mort_mori_mortus(死),mortalis(死に服する),15,,0,,0,,0,例えば家族や知人が亡くなって葬式を終えると、人の死は免れないと気づきます(to remind us that we are mortal),,,,,,,,,,,
1701,186,mortality,死亡率,mort_mori_mortus(死),mortalis(死に服する),15,,0,,0,,0,死亡率は医療の進歩とともに下がっていくので、先進国では死亡率は低く、発展途上国では高いとされています,,,,,,,,,,,
1702,186,mortgage,抵当、住宅ローン,mort_mori_mortus(死),mort(死んだ),9,gage(抵当物),9,,0,,0,は、お金を借りるときに借り主が自分の財産を保証に当てることです,お金を貸す側にとって最も恐ろしいのは借金を踏み倒されることなので、信用のない人にお金を貸す場合は家や土地を担保にしてもらうのです,そして借金が返せないと、保証にあてた家や土地が失われることで、mortgage,財産の死」につながるわけですね,,,,,,,,
1703,186,mortmain,死手譲渡,mort_mori_mortus(死),mort(死),7,manus(手),8,,0,,0,は、教会などが永久に不動産を保有することです,,,,,,,,,,,
1704,186,mortician,葬儀屋,mort_mori_mortus(死),mori(死),7,ician(治療者),10,,0,,0,,,,,,,,,,,,
1705,186,mortify,屈辱を感じさせる、肉欲を断つ,mort_mori_mortus(死),mors(死),7,facere(行う),10,,0,,0,殺す」で、同義語はhumiliateです,,,,,,,,,,,
1706,186,mortuary,死体安置所,mort_mori_mortus(死),mortuus(死んだ),12,,0,,0,,0,,,,,,,,,,,,
1707,186,postmortem,検死,mort_mori_mortus(死),post(後),7,mors(死),7,,0,,0,は、遺体を調べて死因を突き止める作業のことです,遺体の死因が自殺か他殺かで警察の対応も変わってきます,他殺なら事件性があるので、調査をする必要がありますからね,,,,,,,,,
1708,186,,,mort_mori_mortus(死),,0,,0,,0,,0,,,,,,,,,,,,
1709,187,commotion,騒動,mot_mov_mom(動く),com(一緒),7,movere(動く),10,,0,,0,その騒動を鎮めるために(to settle the commotion)、軍隊を派遣することもあります,険悪な人間関係や会社の業績悪化なども騒動の原因となりえます(to be a cause of commotion),,,,,,,,,,
1710,187,demote,降格する,mot_mov_mom(動く),de(下),5,movere(動く),10,,0,,0,,,,,,,,,,,,
1711,187,emotion,感情,mot_mov_mom(動く),ex(外),5,movere(動く),10,,0,,0, sentimentをとります,例えば俳優は登場人物になりきって、感情を込めて台詞を口にします(to speak his line with emotion),詩人は自分の感情を言葉で表現し(to put one’s emotion into words)、画家は自分の感情を絵で表現します(to put one’s emotion into paintings),敏腕のギャンブラーは自分の感情を隠すのが得意なものです(to be good at hiding his emotions),周囲に気を配りすぎて感情を偽るのは(to fake one’s emotion)つらいことです,,,,,,,
1712,187,mob,暴徒,mot_mov_mom(動く),mov(動く),7,,0,,0,ラテン語mobile vulgus(移りげな群衆)の省略形mobileに由来します。,42,,,,,,,,,,,,
1713,187,mobile,移動性がある,mot_mov_mom(動く),movere(動く),10,,0,,0,,0,スーパーやデパートに行くと、たまに移動式の屋台(mobile shop)を見かけることがあります,アニメなどで耳にするモビルスーツ(mobile suit),機動戦士ガンダム」に登場する人型のロボット兵器を指します,,,,,,,,,
1714,187,moment,瞬間,mot_mov_mom(動く),mom(動く),7,,0,,0,ラテン語のmomentum(動き)に由来します。,24,例えば書類や商品などの準備で相手をしばらく待たせる場合に,ちょっと待ってください(Wait a moment)」と言います,またインターネットの普及により私たちは欲しい情報をすぐに手に入れることができます(to get information in a moment),,,,,,,,,
1715,187,momentary,少しの間の,mot_mov_mom(動く),momentum(動き),12,,0,,0,,0,一時的な衝動で(in a momentary impluse)欲しいものを次々と買っていてはお金が貯まりません,,,,,,,,,,,
1716,187,momentous,重大な,mot_mov_mom(動く),moment(一瞬),10,ous(形容詞化),9,,0,,0, significantとなります,例えば結婚は人生の中でも重大な出来事(momentous events)の一つで、将来の伴侶を間違えると暗い人生を送ることになります,そのため結婚相手を決めることは重大な決断(momentous decision),言えます,,,,,,,,
1717,187,momentum,運動量、勢い,mot_mov_mom(動く),mom(動く),7,,0,,0,ラテン語のmomentum(動く力)に由来します。,25,動く物体の速度が速いほど、その質量が大きいほどぶつかった時の衝撃が大きくなるわけですね,例えば走行する自転車とぶつかっても打撲程度で済みますが、自動車だと骨折の可能性もあるわけです,,,,,,,,,,
1718,187,motion,動き、身振り、動議,mot_mov_mom(動く),movere(動く),10,,0,,0,,0,また天文学者は望遠鏡で惑星の運行を観察します(to watch the motion of the planets),人感センサー付きの照明を取り付けると(to fit up a motion sensor lighting)、スイッチを押す手間が省けて便利です,,,,,,,,,,
1719,187,motif,主題,mot_mov_mom(動く),mot(動く),7,,0,,0,ラテン語のmotivus(動くこと)に由来します。,25,は芸術作品の中心となる思想のことを指します,芸術家がその作品を作るための動機とも言えるので、「motifは芸術版のmotive」と考えても良いですね,,,,,,,,,,
1720,187,motive,動機,mot_mov_mom(動く),motivus(動くこと),13,,0,,0,,0,例えば殺人事件が発生した場合、刑事はまず犯人の動機を推理します(to deduce criminal’s motive for murder),金品が盗まれていれば金銭的な動機(a venal motive),みなして、犯人は強盗だと推測できます,もちろん殺人の動機(a motive for murder)は私怨(personal grudge)、復讐(revenge)、嫉妬(jealousy)など他にも色々あります,,,,,,,,
1721,187,motor,モーター,mot_mov_mom(動く),movere(動く),10,,0,,0,,0,例えば扇風機のスイッチを押すだけで羽根が回転するのも、内部にモーターが組み込まれているからです,ちなみにengineも電力を運動エネルギーに変える装置ですが、こちらは車やバイクなどの乗り物で主に使われます,,,,,,,,,,
1722,187,move,動く、移転する,mot_mov_mom(動く),movere(動く),10,,0,,0,,0,イベントに参加しても面白くなければ会場から立ち去りますし(to move away from the place)、道端で知人を見かけたらその人の方に向かうでしょう(to move toward one’s acquaintance),前方が安全ならば前を進めますが(to move forward)、車が来ているようなら一旦後ろに下がります(to move backward),,,,,,,,,,
1723,187,movement,運動,mot_mov_mom(動く),movere(動く),10,,0,,0,,0,は、社会問題の解決などのために同じ考え方の人たちが団結して世論や政府に訴える活動のことです,例えば労働者は立場が弱いので、団結して労働環境を改善するようにと労働運動(labor movement)を起こします,戦争を憎み平和を愛する人たちも団結して平和運動(peace movement)を行います,またアメリカでは黒人への公民権適用を求めた公民権運動(civil lights movement)やベトナム反戦運動(antiwar movement)なども歴史的に有名です,,,,,,,,
1724,187,promote,昇進する、促進する,mot_mov_mom(動く),pro(前),6,movere(動く),10,,0,,0,促進する」で、同義語にfacilitateとaccelerateをとります,何かが成長するのを手助けするときに使われます,例えば政府は公共事業や金利引き下げを行い、経済成長を促します(to promote economic growth),健康的な食生活は健康を促進します(to promote one’s health),,,,,,,,
1725,187,remote,遠い,mot_mov_mom(動く),re(後ろ),6,movere(動く),10,,0,,0,技術が発達した今ではリモコン(remote controller)でテレビやパソコンを遠隔操作するのが当たり前になっています,またremoteは時間が現代から遠く離れていることから「大昔」の意味もあります,学校の歴史の授業で人類の遠い祖先(remote ancestor)のことを学ぶことがあります,,,,,,,,,
1726,187,remove,取り除く,mot_mov_mom(動く),re(後ろ),6,movere(後ろ),10,,0,,0,例えば部屋が散らかっている場合には、ほとんど使わないものを部屋から片付けるべきです(should be removed from one’s room),また洗剤は服のシミを落としてくれます(to remove stains),雪国では雪の重さが家を潰してしまうことがあるので、定期的に屋根に登って雪を退けます(to remove snow),家の周りの雑草がしつこい時には、除草剤(herbicide)を使えば雑草を取り除いてくれます(to remove weeds),,,,,,,,
1727,187,,,mot_mov_mom(動く),,0,,0,,0,,0,,,,,,,,,,,,
1728,188,amount,分量,mount_mons(山),ad(方向),6,mons(山),7,,0,,0,例えば都心部でマイホームを建てるには、多額のお金が必要です(to need a large amount of money),少量の塩を加えるだけでも(adding a small amount of salt)、料理の酸味が増して味が引き締まります,健康な体を維持するためにも、毎日一定量の運動はするべきです(to do a certain amount of exercise),,,,,,,,,
1729,188,eminent,有名な,mount_mons(山),ex(外),5,mons(山),7,,0,,0,山の中から頭角を現すイメージですね,例えばピカソは誰でも名前を聞いたことがあるほどの有名な画家(eminent painter)です,夏目漱石や芥川龍之介、森鴎外など著名な作家(eminent writers)の書いた作品は今でも読み継がれています,著名な学者(eminent scholar)はその卓越した頭脳で様々な発見をしています,,,,,,,,
1730,188,imminent,差し迫った,mount_mons(山),in(中),5,minere(突き出る),12,,0,,0,例えば大雨が降りそうなら(when a heavy rain is imminent)、あらかじめ雨具を用意しておくべきです,経済危機が迫ってくると(an economic crisis is imminent)、人はパニックに陥り持っている株を全て売ろうとしてしまいます,,,,,,,,,,
1731,188,mount,登る、開始する、山,mount_mons(山),mons(山),7,,0,,0,,0,例えば人は歳をとると階段を登るのも難しくなります(to have difficulty with mounting the stair),家の屋根など高い場所で作業する場合は、梯子を登ります(to mount a ladder),,,,,,,,,,
1732,188,mountain,山,mount_mons(山),mons(山),7,,0,,0,,0,またマウンテンバイク(mountain bike, MTB)に乗れば、舗装されていないデコボコした山道(mountain path)でも快適に走ることができます,さらにmountainは複数形になると「山脈」という意味になります,飛騨山脈(Hida mountains)、木曽山脈、赤石山脈は３つまとめて日本アルプスと呼ばれている有名な山脈です,,,,,,,,
1733,188,mountaineer,登山家,mount_mons(山),mons(山),7,,0,,0,,0,入山料や装備などに多額のお金が必要ですが、どうやって調達するのでしょうか,有名な登山家(famous mountaineer)なら企業のスポンサーになったり、講演を行ったり、本を書いたりして収入を得ます,一方無名の登山家(nameless mountaineer)はシーズンオフにアルバイトをしてお金を稼ぐ必要があります,,,,,,,,,
1734,188,mountainside,山腹,mount_mons(山),mons(山),7,side(側面),8,,0,,0,麓(foot of mountain)の中間の部分のことです,山から物が落ちると、斜面を転がって勢いを増すので、注意が必要です,例えば雪山では雪崩が山腹から落ちてくることがあるので(an avalanche may fall down frok a mountainside)、スキーをする前には雪崩注意報をチャックしておきましょう,山道を運転するときには山腹からの落石(rockfall from a mountainside)に注意しましょう,,,,,,,,
1735,188,montana,モンタナ州,mount_mons(山),mons(山),7,,0,,0,,0,,,,,,,,,,,,
1736,188,paramount,最重要な,mount_mons(山),per(貫通),7,amont(登る),9,,0,,0, primaryです,例えば国の経済が不況に陥った場合、経済政策が最も重要になります(economical policy is of paramount importance),また隣の家が火事になった場合、まず自分の命を最優先に考えて(to think that your life is paramount)、すぐに避難するべきです,,,,,,,,,
1737,188,prominent,重要な、突き出た,mount_mons(山),pro(前),6,minere(突き出る),12,,0,,0,例えば優れた政治家(prominent politician)は人の心をつかむことに長けています,また優れたビジネスリーダー(prominent business leader)はとにかく行動的で、人を動かすのも上手です,,,,,,,,,,
1738,188,surmount,打ち勝つ,mount_mons(山),sur(超える),8,moter(登る),9,,0,,0,たまにテレビ番組で身体障害者が体の障害を克服する美談が取り上げられ(to surmount physical disabilities)、健常者に感動を与えますが、障害者の方は不快に感じるようです,俗にいう感動ポルノですね,英語を学んで言語の壁を乗り越えることで(to surmount the language barrier)、海外のサイトを楽しむことができます,,,,,,,,,
1739,188,,,mount_mons(山),,0,,0,,0,,0,,,,,,,,,,,,
1740,189,multicellular,多細胞の,multi(多い),multi(多い),9,cellular(細胞の),13,,0,,0,は複数の細胞で構成されている生物のことで、動物と植物は全て多細胞生物になります,一方一つの細胞だけで構成されている生物は単細胞生物(unicellular organism),呼ばれ、大腸菌などの原核生物やゾウリムシなどの原生生物などが該当します,,,,,,,,,
1741,189,multicultural,多文化の,multi(多い),multi(多い),9,cultual(文化的),12,,0,,0,多文化社会(multicultural society),は、そうした複数の文化を受け入れる余地のある社会のことを指します,,,,,,,,,,
1742,189,multidisciplinary,学際的,multi(多い),multi(多い),9,disciplinary(学問の),17,,0,,0,は研究などが複数の分野にまたがる様子を表す言葉です,「国際」と似たような感じの言葉ですね,,,,,,,,,,
1743,189,multifarious,雑多な,multi(多い),multi(多い),9,fariam(副詞の接尾辞),14,,0,,0,都会に出ると車のクラクションや電車の音など様々な騒音(multifarious noises)が私達の耳を襲います,粘土やガラスは色んな形をとることができます(to form multifarious shapes),,,,,,,,,,
1744,189,multilateral,多国間の,multi(多い),multi(多い),9,latus(側面),9,,0,,0,南京条約とは南極の平和利用を定めて多国間条約(multilateral treaty)のことで、領土主権の凍結や軍事利用の禁止を定めています,多国間貿易(multilateral trade),は複数の国を通じて行われる貿易のことです,例えば資金力のある大手のメーカーは人件費の安い中国で製品を作り、それをいろんな国へと輸出します,,,,,,,,
1745,189,multilingual,多言語を話す,multi(多い),multi(多い),9,lingua(言語),10,,0,,0,呼びます,グーグルやウィキペディアなどは複数の言語でサービスを提供できるので、他言語サイト(multilingual site),も呼ばれます,また複数の公用語を持つ国家は多言語国家(multilingual nation),呼ばれます,,,,,,,
1746,189,multimedia,マルチメディア,multi(多い),multi(多い),9,media(媒体),9,,0,,0,,,,,,,,,,,,
1747,189,multitude,多数,multi(多い),multi(多い),9,tudo(名詞化の接尾辞),13,,0,,0,例えば都心部へ出かけると大勢の人たちが見えます(to see a multitude of people),スキャンダルが発覚すると記者は多数の質問を投げかけます(to ask a multitude of questions),どの国にも解決しなくてはならない問題は山ほどあるものです(to have a multitude of problem to deal with),,,,,,,,,
1748,189,multiple,多数の、倍数,multi(多い),multi(複数),9,plus(折りたたむ),11,,0,,0,は一人の人間に複数の人格が内在する状態のことで、過度のストレスが原因で切り離された感情が別の人格となって表れます,殺人事件で死体に多数の刺し傷(multiple stab wounds)が見られる場合、動機は私怨によるものではないかと推測できます,高速道路でスリップなどで車が急停止すると後続の車が次々ぶつかって多重衝突事故(multiple collision)を引き起こしてしまいます,また日本の大学のセンター試験やTOEICでは多項選択式の問題(multiple choice questions)で出題されます,,,,,,,,
1749,189,multiply,掛け算する,multi(多い),multi(多い),9,plex(折りたたむ),11,,0,,0,例えば４に５を掛けると(to multiply 4 by 5)、答えは２０になります(to get 20),,,,,,,,,,,
1750,189,,,multi(多い),,0,,0,,0,,0,,,,,,,,,,,,
1751,190,extramural,学外の,mur(壁),extra(外),8,murus(壁),8,,0,,0,,,,,,,,,,,,
1752,190,intramural,学内の,mur(壁),intra(内側),9,murus(壁),8,,0,,0,大きなテニス部を抱える学校は学内のテニス大会(intramural tennis tounament)を開催することがあります,,,,,,,,,,,
1753,190,mural,壁画,mur(壁),murus(壁),8,,0,,0,,0,,,,,,,,,,,,
1754,190,,,mur(壁),,0,,0,,0,,0,,,,,,,,,,,,
1755,191,commute,通勤する,mut(変化),com(強調),7,mutare(変化する),12,,0,,0,一方自宅が職場から遠く離れている場合は、電車で通勤する必要があります(to commute by train),満員電車が嫌な人は車で通勤しています(to commute by car),,,,,,,,,,
1756,191,immutable,不変の,mut(変化),in(否定),6,mutare(変化する),12,,0,,0,も言えます,,,,,,,,,,,
1757,191,mutant,突然変異体,mut(変化),mutare(変化する),12,,0,,0,,0,例えばアルビノ(albino)はメラニン色素が欠乏する遺伝子疾患を持つ個体のことで、発症した動物は体毛や皮膚が真っ白になります,,,,,,,,,,,
1758,191,mutate,変異する,mut(変化),mutare(変化する),12,,0,,0,,0,,,,,,,,,,,,
1759,191,mutation,突然変異,mut(変化),mutare(変化する),12,,0,,0,,0,例としては体が真っ白になるアルビノ(albino)、逆に体が真っ黒になるメラニズム(melanism)、体が半分ずつ別の色になるハーフサイダー(half sider)、左右の目の色が異なる虹彩異色症(heterochromia iridis)などが挙げられます,虹彩異色症の別名オッドアイは和製英語で、英語圏では使われない表現です,,,,,,,,,,
1760,191,mutual,相互の,mut(変化),mutuus(互いに行う),13,,0,,0,,0,友人や同僚と親しい関係を維持したいのなら、お互いに尊敬し合うことが大切です(to have mutual respect),,,,,,,,,,,
1761,191,permutation,順列,mut(変化),per(完全),7,mutare(変化する),12,,0,,0,は異なる数や物の並べ方の総数のことで、高校の数学で学ぶことになります,例えば４つのアルファベットa, b, c, dから２つの文字を選ぶ場合の順列は4P2＝4*3=12となり、全部で12通りあります,公式で使われる大文字のPはpermutationの頭文字だったのです,,,,,,
1762,191,transmute,変える,mut(変化),trans(完全),9,mutare(変化する),12,,0,,0,,,,,,,,,,,,
1763,191,,,mut(変化),,0,,0,,0,,0,,,,,,,,,,,,
1764,192,nanometer,10億分の１メートル,nano(小さい),nano(極小),8,meter(メートル),11,,0,,0,例えば原子の大きさは0.1nmほどになります,,,,,,,,,,,
1765,192,nanosecond,10億分の１秒,nano(小さい),nano(極小),8,second(秒),9,,0,,0,,,,,,,,,,,,
1766,192,nanotechnology,ナノテクノロジー,nano(小さい),nano(極小),8,technology(技術),14,,0,,0,例えばC60フラーレンは、炭素原子60個が結合した代表的なクラスターで、サッカーボールのような形をしています,またカーボンナノチューブは平面を丸めて円筒状の形をしており、優れた半導体の素材として期待されています,,,,,,,,,,
1767,192,,,nano(小さい),,0,,0,,0,,0,,,,,,,,,,,,
1768,193,innate,生来の,nat_nasci_nativus(生まれる),in(中),5,nasci(生まれる),11,,0,,0,,,,,,,,,,,,
1769,193,naive,世間知らずの,nat_nasci_nativus(生まれる),nativus(天然の),12,,0,,0,,0,,,,,,,,,,,,
1770,193,nation,国家,nat_nasci_nativus(生まれる),natio(生まれ),10,,0,,0,,0, stateはそれぞれ同義語ですがニュアンスが少し異なります,nationはその国の経済や社会構造に焦点を当てているのに対し、stateは独自の政治概念を持つ組織を指します,countryは国を指す一般的な単語で、特に政府の存在する国土を指します,,,,,,,,,
1771,193,national,国家の,nat_nasci_nativus(生まれる),nation(国家),10,,0,,0,,0,全国紙(national newspaper),は、読売新聞や朝日新聞など全国向けにニュースを提供している新聞社のことです,スポーツの全国大会(national competition)で優勝すると、その名が全国に響き渡ります,国債(national bond)は低リスクの金融商品として人気があります,日本に数多くある道路の中でも重要度が高く国によって管理されているものは国道(national road),呼ばれます,,,,,,
1772,193,nationality,国籍,nat_nasci_nativus(生まれる),national(国家の),13,,0,,0,,0,またアメリカで生まれてその後日本の国籍を手に入れた場合、アメリカ国籍を捨てなければ二重国籍(dual nationality)を持っていることになります,ただ日本では二重国籍は認められていません,だからもしあなたが韓国に移住してその国籍を手に入れたなら(to get Korean nationality)、日本の国籍は失うことになります(to lose Japanese nationality),,,,,,,,,
1773,193,nationalize,国有化する,nat_nasci_nativus(生まれる),national(国家の),13,,0,,0,,0,,,,,,,,,,,,
1774,193,native,母国の,nat_nasci_nativus(生まれる),nativus(生まれる),13,,0,,0,,0,日本で生まれ育った人にとって日本語は母国語(native language)なので、意識せずともスラスラと話せるはずです,外国人からしてみれば私たちは日本語のネイティヴスピーカー(native speaker)なのですね,またネイティブアメリカン(Native American),はヨーロッパ人が移住する前からアメリカに存在していた部族の人たちのことで、その大半はインディアン(Indian)で占められています,,,,,,,,
1775,193,natural,自然の,nat_nasci_nativus(生まれる),nature(自然),10,,0,,0,,0,またネズミから見た猫のように、自分にとって捕食者になる動物は天敵(natural enemy),呼ばれます,病気や事故ではなく、寿命によって死ぬことを自然死(natural death),言います,,,,,,,,
1776,193,naturalize,帰化する,nat_nasci_nativus(生まれる),natural(自然の),12,,0,,0,,0,ただし日本では二重国籍が認められていないので、日本人に帰化すると(If foreigners are naturalized as Japanese)、母国の国籍は失ってしまいます,そのため帰化するか永住権を獲得するかで悩む外国人もいます,,,,,,,,,,
1777,193,nature,自然、性格,nat_nasci_nativus(生まれる),nasci(生まれる),11,,0,,0,,0,例えば天然の資源はすべて自然から発見されます(to be found in nature),重力や引力などは自然の力(the force of nature)です,最近は自然保護(nature conservation)を掲げる企業も増えてきました,,,,,,,,,
1778,193,renaissance,ルネサンス,nat_nasci_nativus(生まれる),re(再び),6,nasci(生まれる),11,,0,,0,復活」です,ルネサンスとは、古代ギリシャ・ローマの文化を復興させるための文化運動のことです,中世ヨーロッパではキリスト教の影響が非常に強く、芸術も神を礼賛するものばかりでした,その反動で人間性の肯定、個人の尊重を唱える古代の文化を復興させる動きが強まりました,ルネサンス時代の小説は、デカメロンなど人間をありのままに語ったものが多く、絵画も人の裸を描いたものが多いです,,,,,,,
1779,193,,,nat_nasci_nativus(生まれる),,0,,0,,0,,0,,,,,,,,,,,,
1780,194,abnegate,欲望を捨てる,ne_neg_nil(否定),ab(離れる),7,negare(否定する),12,,0,,0,また健康に気遣うなら、タバコも断念しましょう(to abnegate the smorking),名詞形のabnegationは画像検索すると、なぜか手を繋いだマークがたくさん出てきます,あれはアメリカの人気SF小説「ダイバージェント(Divergent)」に登場する５つのグループのシンボルで、abnegationは無欲を司ります,,,,,,,,,
1781,194,annihilate,殲滅する,ne_neg_nil(否定),ad(方向),6,nihil(無),8,,0,,0,例えば原爆を使えばたくさんの街を消滅できますが(to annihilate many towns)、その何千倍もの威力を持つ水爆なら国ひとつを消すこともできます(to annihilate a country),また戦争で戦力的に優位に立っているなら、敵軍を全滅させられます(to annihilate the enemy’s army),,,,,,,,,,
1782,194,annul,無効にする,ne_neg_nil(否定),an(方向),6,nullus(無),9,,0,,0,例えば離婚届を役所に提出すると、結婚は破棄されます(the marriage is annulled),相手が提示した条件を破ると、契約は破棄されます(the contract is annulled),,,,,,,,,,
1783,194,deny,否定する,ne_neg_nil(否定),de(離れる),7,negare(断る),10,,0,,0,例えば私たちの多くはオカルトに興味がなく、幽霊の存在も信じていません(We deny the existance of ghost),またdenyの後には不定詞(infinitive)でなく動名詞(gerund)が続きます,例えば痴漢の冤罪に会ったときには、やっていないとはっきり言いましょう(You should deny touching anyone),,,,,,,,,
1784,194,negate,無効にする,ne_neg_nil(否定),negare(否定する),12,,0,,0,,0,また科学的な調査により幽霊の存在は否定されています(The existence of ghost is negated by scientific investigation),,,,,,,,,,,
1785,194,negative,悪い,ne_neg_nil(否定),negare(否定する),12,,0,,0,,0,ギャンブルの悪い部分は依存症になり得ることです(The negative side of gamble is an addiction),企業が自社のイメージを大事にするのは、悪い噂が売り上げに悪影響を与えると知っているからです(The bad rumor has negative effect on sales),,,,,,,,,,
1786,194,negotiate,交渉する,ne_neg_nil(否定),neg(否定),7,otium(暇),8,,0,,0,このような動詞はreciprocal verbと呼ばれ、他にもmeet, fight, merryなどが該当します,どれも相手がいないと成り立たない動詞ですね,negotiateはビジネスや政治で話し合って何かを決めるときに使われます,海外には定価の概念がない国があります,土産物を買うときには、売り手と値段を交渉してみるのも良いでしょう(to negotiate the price with a merchant),,,,,
1787,194,neglect,怠る,ne_neg_nil(否定),nec(否定),7,legere(選ぶ),10,,0,,0,例えばもしあなたが育児放棄をしたなら(If you neglect your children)、将来子どもは不良になる可能性が高くなります,また仕事をサボった場合は(to neglect your work)、クビにされても文句は言えません,若いときに健康をおろそかにすると(to beglect your health in your youth)、中年になってから病気がちになってしまいます,,,,,,,,,
1788,194,negligence,怠慢、過失,ne_neg_nil(否定),neglect(怠る),11,,0,,0,,0,過失とは、法律用語で「ある事故が予見できたにも関わらず、その注意を怠ったこと」です,例えば工場の管理が行き届いておらず従業員が怪我をしてしまった場合、管理者は業務上過失の罪を問われます(to be charged for the professional negligence),また赤信号を無視して歩行者に突っ込むなど、過失の割合が大きい場合は特に重過失(gross negligence),呼ばれます,,,,,,,,
1789,194,neither,どちらでも無い,ne_neg_nil(否定),na(否定),6,whether(どちらか),13,,0,,0,例えば感情の起伏に乏しい人は笑いも怒りもしません(The person neither smiles nor gets angry),貧乏人には知恵も人脈もないので(Poor people has neither knowledge nor personal connections)、新たなビジネスを立ち上げることすら難しいです,最近の若者はスマホでなんでも済ませようとするので、テレビもパソコンも持っていません(to have neither TV nor PC),,,,,,,,,
1790,194,neuter,中性の,ne_neg_nil(否定),ne(否定),6,whether(どちらか),13,,0,,0,ドイツ語やロシア語などの一部の言語では、主語の名詞が男性名詞(masculine noun)、女性名詞(feminine noun)、中性名詞(neuter noun),分けられています,名詞の性によって冠詞や動詞の活用も変化するので、外国語として学び始めると厄介な問題となります,幸運にも英語では名詞の性を考える必要がないので、比較的学びやすい言語だと思います,,,,,,,,
1791,194,neutral,中立の,ne_neg_nil(否定),neuter(中立),10,,0,,0,,0,例えば会議で激しい口論が始まると、穏健な人は中立の立場を崩さないようにします(to remain neutral),友人同士が口論になった場合、仲介役として真ん中の立場をとりましょう(to take a neutral position),またスイスは代表的な中立国(neutral country)なので、戦争の原因になるような行為は慎んでいます,また車のニュートラルはギアとエンジンが離れた状態なので、前進も後退もしません,タイヤがロックされてもいないので、牽引車で引っ張るときに使われるギアですね,,,,,,,
1792,194,neutrino,ニュートリノ,ne_neg_nil(否定),neutro(中性の),11,ino(指小辞),8,,0,,0,ニュートリノは電気を持たないので他の物質とも反応せず、観測が困難を極めていました,ちなみに素粒子(elementary particle)は物質を極限まで細分化した粒子で、原子や陽子、中性子も素粒子で構成されています,,,,,,,,,,
1793,194,neutron,中性子,ne_neg_nil(否定),neutral(中性の),12,,0,,0,,0,原子核(nucleus)で構成されています,その原子核は陽子(proton),中性子(neutron)で構成されています,中性子は原子の一部分で、電気を持っていません,また単独で存在する中性子はベータ崩壊により10分ほどで陽子に変わってしまいます,,,,,,,
1794,194,nil,無,ne_neg_nil(否定),ne(否定),6,hilum(少し),9,,0,,0,最終スコアが2-0の場合、two to nilと言うのです,もちろん普通にゼロの意味合いで使われることもあります,例えば宝くじで１億当てる確率はほぼゼロです(The chance of winning in lotterry is virtually nil),,,,,,,,,
1795,194,nihilism,虚無主義,ne_neg_nil(否定),nihil(無),8,,0,,0,,0,ニーチェは科学や宗教、政治思想などは実際の生にとって無価値なものであるとみなし、だからこそ今の人生を懸命に生きるべしと、積極的ニヒリズムを説いています,,,,,,,,,,,
1796,194,none,どれでもない,ne_neg_nil(否定),ne(否定),6,an(一つ),6,,0,,0,noneは３つ以上の何かを対象として、一つもそれに該当しないと言う意味合いで使われます,例えば誕生パーティの招待状をたくさんの知人に送ったのに、誰も来なかったら(none come to the party)、ものすごく惨めになるでしょう,また難しすぎるテストを作ると、どの生徒も合格できなくなってしまいます(None of students pass the test),,,,,,,,,
1797,194,nowhere,どこにも無い,ne_neg_nil(否定),no(否定),6,where(どこ),9,,0,,0,また最近ではタバコを吸える場所がどこにもないので(There is nowhere to smoke)、喫煙者は肩身の狭い思いをしています,,,,,,,,,,,
1798,194,null,無,ne_neg_nil(否定),nullus(一つもない),13,,0,,0,,0,表示されてしまうのです,慣用句のnull and void,無効」を意味し、同義語はnot validです,例えば契約相手が約束を破ると、契約は無効になります(the contract get null and void),,,,,,,,
1799,194,nullify,無効にする,ne_neg_nil(否定),null(無),7,,0,,0,,0,スポーツでルールを破った場合、その行為は審判により無効にされます(the action is nullified by a referee),,,,,,,,,,,
1800,194,,,ne_neg_nil(否定),,0,,0,,0,,0,,,,,,,,,,,,
